Date,forecast_load_mw,Temperature
2014-12-12,12114.370833333332,28.5
2014-12-13,10982.320833333331,30.0
2014-12-14,9909.7375,31.5
2014-12-15,10898.2125,35.0
2014-12-16,11390.8,35.5
2014-12-17,12060.858333333334,34.0
2014-12-18,12449.941666666668,37.5
2014-12-19,12332.258333333331,33.5
2014-12-20,11376.529166666667,36.5
2014-12-21,10625.125,35.0
2014-12-22,11768.008333333331,36.0
2014-12-23,11456.15,34.5
2014-12-24,10633.545833333334,34.0
2014-12-25,9890.9625,34.5
2014-12-26,10326.45,32.0
2014-12-27,10009.595833333333,32.0
2014-12-28,10207.9875,33.0
2015-01-01,11611.225,23.0
2015-01-02,11610.545833333334,24.5
2015-01-03,10995.316666666668,31.5
2015-01-04,10695.4,17.5
2015-01-05,12994.341666666667,1.5
2015-01-06,13254.054166666669,2.5
2015-01-07,13573.4125,0.0
2015-01-08,14218.658333333333,5.0
2015-01-09,13827.783333333333,5.5
2015-01-10,12940.645833333334,11.0
2015-01-11,11500.2125,27.0
2015-01-12,12317.104166666666,21.5
2015-01-13,13122.154166666667,11.0
2015-01-14,13568.9375,10.0
2015-01-15,13143.254166666668,25.5
2015-01-16,12384.720833333333,28.5
2015-01-17,11252.45,34.0
2015-01-18,10413.533333333333,33.5
2015-01-19,11450.7875,33.0
2015-01-20,11841.666666666666,32.5
2015-01-21,11945.504166666668,31.0
2015-01-22,11987.020833333334,29.5
2015-01-23,11980.833333333334,30.0
2015-01-24,11090.254166666668,36.0
2015-01-25,10555.195833333331,29.0
2015-01-26,12013.875,20.5
2015-01-27,12148.058333333332,26.0
2015-01-28,12189.633333333331,26.5
2015-01-29,11905.591666666667,31.5
2015-01-30,12134.141666666666,24.0
2015-01-31,11352.883333333331,27.5
2015-02-01,10801.858333333334,25.0
2015-02-02,12211.4125,12.5
2015-02-03,12775.6875,14.0
2015-02-04,12513.183333333332,14.5
2015-02-05,13091.675,6.5
2015-02-06,12888.791666666666,22.0
2015-02-07,11292.0,29.5
2015-02-08,10233.420833333334,32.0
2015-02-09,11738.6625,23.0
2015-02-10,12271.816666666668,23.5
2015-02-11,12023.308333333332,26.5
2015-02-12,12680.020833333334,13.0
2015-02-13,13043.575,15.5
2015-02-14,12108.629166666668,14.0
2015-02-15,12133.629166666668,6.0
2015-02-16,12784.029166666667,11.5
2015-02-17,12886.3625,13.5
2015-02-18,13271.041666666666,2.5
2015-02-19,14070.645833333334,-2.0
2015-02-20,13989.129166666668,5.5
2015-02-21,12064.579166666666,24.5
2015-02-22,11364.541666666666,15.0
2015-02-23,13197.895833333334,4.0
2015-02-24,13317.083333333334,16.5
2015-02-25,12660.933333333332,18.0
2015-02-26,12729.779166666667,9.5
